"id";"owner";"created_on";"modified_by";"modified_on";"origen_id";"usuario_id";"estado";"razon";"nota";"origen_tipo";"origen_ref";"valor";"pagado"
"1";"6";"2023-03-15 10:56:43";"6";"2023-03-15 10:56:43";"9924";"29";"2";"1";;"1";"Pedido-23.02.28-8395";"12267";"0"
"2";"6";"2023-03-15 10:57:45";"6";"2023-03-15 10:57:45";"9921";"29";"2";"1";;"1";"Pedido-23.02.28-8392";"75041";"0"
"3";"6";"2023-03-15 11:10:11";"6";"2023-03-15 11:10:11";"9915";"29";"2";"1";;"1";"Pedido-23.02.28-8387";"2937";"0"
"4";"6";"2023-03-15 11:12:36";"6";"2023-03-15 11:12:36";"9909";"29";"2";"1";;"1";"Pedido-23.02.27-8383";"18558";"0"
"5";"6";"2023-03-15 11:14:10";"6";"2023-03-15 11:14:10";"9907";"29";"2";"1";;"1";"Pedido-23.02.27-8381";"825";"0"
"6";"6";"2023-03-15 11:30:30";"6";"2023-03-15 11:30:30";"9903";"29";"2";"1";;"1";"Pedido-23.02.25-8377";"324197";"0"
"7";"6";"2023-03-15 11:32:15";"6";"2023-03-15 11:32:15";"9901";"29";"2";"1";;"1";"Pedido-23.02.24-8375";"2518";"0"
"8";"6";"2023-03-15 11:33:09";"6";"2023-03-15 11:33:09";"9899";"29";"2";"1";;"1";"Pedido-23.02.24-8373";"1254";"0"
"9";"6";"2023-03-15 11:34:08";"6";"2023-03-15 11:34:08";"9895";"29";"2";"1";;"1";"Pedido-23.02.23-8368";"8646";"0"
"10";"6";"2023-03-15 11:34:49";"6";"2023-03-15 11:34:49";"9892";"29";"2";"1";;"1";"Pedido-23.02.23-8365";"1650";"0"
"11";"6";"2023-03-15 11:51:04";"6";"2023-03-15 11:51:04";"9891";"29";"2";"1";;"1";"Pedido-23.02.23-8364";"13440";"0"
"12";"6";"2023-03-15 11:53:49";"6";"2023-03-15 11:53:49";"9885";"29";"2";"1";;"1";"Pedido-23.02.22-8358";"1056";"0"
"13";"6";"2023-03-15 11:54:53";"6";"2023-03-15 11:54:53";"9881";"29";"2";"1";;"1";"Pedido-23.02.22-8353";"6032";"0"
